"content_id","title","type","description","release_year","genres_array","production_countries","seasons","imdb_id","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","duration_num"
"003ed4a8b7861043b8a36004c9e336ab777813c3d885c593b944d9f256c986f3","Disrupt & Dismantle with Soledad O'Brien","SHOW","","2021","['documentation']","[]","1.0","tt14315936","4.3","18.0","","","40"
"007e37eee72f92571fff9a530596cc7bdd45286e0ed714c81dffd0bb93c3ed25","Jeff & Some Aliens","SHOW","Based on the recurring TripTank sketches, Jeff And Some Aliens follows Jeff, the world’s most average guy, and the three aliens sent to study him to determine whether or not humanity should be destroyed. Jeff’s mundane life is constantly thrown into chaos by his extraterrestrial guests – it isn’t always easy having roommates who force you to participate in grueling intergalatic decathalons or perform Azurian honor killings to restore interstellar balance","2017","['animation', 'comedy', 'scifi']","['US']","1.0","tt4218824","8.0","1772.0","5.376","8.1","21"
"00923a6ba1cc4dacebe9ab5b3ae9f0c66c6d60c14c943090ba2920d2c1166102","Joe Rogan: Rocky Mountain High","MOVIE","Perched high above it all in Denver, Joe Rogan¹s brand-new one-hour stand-up special, \"Rocky Mountain High,\" has a clear perspective. Tune in to find out the real meaning of infinity, why Joe will lie to you on stage and why Kim Kardashian is the most popular woman in the world. Filmed at the renowned Denver Comedy Works in downtown Denver, \"Rocky Mountain High\" proves if you¹re not paranoid, you¹re not paying attention.","2014","['comedy']","['US']","","tt4226162","7.4","788.0","1.353","7.2","63"
"009dee2c92d97b3f9e279d534fcdc18f2a185a9624880bf98d2871fb82bea47c","My Pal Trigger","MOVIE","Gabby doesn´t want to breed his horse the Golden Sovereign with Roy's. When Sovereign and Roy's horse escape, the Sovereign get shoot accidentally by Skoville but Roy is blamed and jailed. A year later Roy returns with Trigger, the son of the Sovereign. When Skoville reveals he was present when the horse was shot, Roy sees an opportunity to clear his name.","1946","['action', 'western', 'music', 'drama']","['US']","","tt0038764","6.4","516.0","1.374","6.0","79"
"00a3dfe7b12ae9edd424851d11f3b6e554f48016c6e5578fa8964e1351946aca","Battle of Midway: The True Story","MOVIE","It's June 1942 and the world's fate is about to be decided by a handful of pilots and their untested aircraft. Experience an inside look at the Battle of Midway, captured through rarely seen battle footage and firsthand accounts from its hero dive-bombing pilot, \"Dusty\" Kleiss. This is an hour-by-hour recount of one of the most pivotal conflicts of the 20th century. Take a closer look at how this desperately needed victory came about through the design of U.S. airplanes, the skill of the pilots, the element of surprise, and a stroke of luck.","2019","['documentation']","['US']","","","","","1.983","4.0","51"
"00b85693a29fc0e801512ea546b82c01696fa405273a2e6d5f830cb4dcd3532f","The Other Kingdom","SHOW","Astral is a fairy princess who lives in the secret fairy kingdom of Athenia which is full of mythical creatures. While that sounds amazing, Astral likes to fantasize about living in the human world and attending high school. Once she leaves her home to do just that, she has to try to fit in and keep her identity a secret.","2016","['drama', 'scifi', 'family', 'fantasy', 'comedy']","['CA']","1.0","tt5582392","5.7","291.0","4.36","6.3","22"
"00c9ca14bd17ac8f144483987b0393e883177349506cc6b3a969d7f7c7432d90","Bob the Builder: A Christmas to Remember","MOVIE","Bob and his friends have their work cut out to prepare for the town's annual Christmas concert","2001","['animation']","['GB']","","","","","4.647","7.8","63"
"00e890b550cddeb98ba68304cc32e758cab6befd5cdb3c98beee42677d37a291","The Black Pirate","MOVIE","A nobleman vows to avenge the death of his father by the hands of pirates. To this end, he infiltrates the pirate band; Acting in character, he single-handedly captures a merchant vessel, but things are complicated when he finds that there is a beautiful young woman of royal blood aboard.","1926","['drama', 'action']","['US']","","tt0016654","7.0","1979.0","2.96","7.0","94"
"0109f064e8a13e9ce34db403ca7ead52bdecc5c09e18dc31a60ec3da8413ee31","Angela's Ashes","MOVIE","Based on the best selling autobiography by Irish expat Frank McCourt, Angela's Ashes follows the experiences of young Frankie and his family as they try against all odds to escape the poverty endemic in the slums of pre-war Limerick. The film opens with the family in Brooklyn, but following the death of one of Frankie's siblings, they return home, only to find the situation there even worse. Prejudice against Frankie's Northern Irish father makes his search for employment in the Republic difficult despite his having fought for the IRA, and when he does find money, he spends the money on drink.","2000","['drama']","['IE', 'GB', 'US']","","tt0145653","7.3","22384.0","12.06","7.236","145"
"0119008cfd05a553688a3136e5ab950eea838f7ba11a2e29101e378e3a131bce","Freakish","SHOW","A group of students trapped in a high school must fight for survival when predatory mutant freaks take over after a meltdown at the local chemical plant.","2016","['scifi', 'thriller', 'action', 'drama', 'horror']","['US']","2.0","tt5875646","6.1","2912.0","7.434","6.549","23"
"0139defb63a1a4af4d54b5f4a9b5b8fe0c4896f9a66e8dab798d7226f4df7c9e","Heatwave","MOVIE","A woman's life takes an unexpected turn when she falls for her boss's wife. She must soon defend herself as she becomes entangled in a web of malice.","2022","['thriller', 'romance']","['CA', 'US']","","tt17291716","5.0","930.0","54.558","6.93","100"
